0.00 	-1.2500000000E+00	0.0000000000E+00
0.01 	-1.1890367806E+00	-1.2192643875E-02
0.02 	-1.1310467725E+00	-2.3790645491E-02
0.03 	-1.0758849705E+00	-3.4823005894E-02
0.04 	-1.0234134413E+00	-4.5317311731E-02
0.05 	-9.7350097884E-01	-5.5299804232E-02
0.06 	-9.2602277585E-01	-6.4795444830E-02
0.07 	-8.8086011215E-01	-7.3827977570E-02
0.08 	-8.3790005754E-01	-8.2419988491E-02
0.09 	-7.9703518953E-01	-9.0592962095E-02
0.10 	-7.5816332464E-01	-9.8367335072E-02
0.11 	-7.2118726298E-01	-1.0576254740E-01
0.12 	-6.8601454512E-01	-1.1279709098E-01
0.13 	-6.5255722095E-01	-1.1948855581E-01
0.14 	-6.2073162974E-01	-1.2585367405E-01
0.15 	-5.9045819093E-01	-1.3190836181E-01
0.16 	-5.6166120515E-01	-1.3766775897E-01
0.17 	-5.3426866494E-01	-1.4314626701E-01
0.18 	-5.0821207468E-01	-1.4835758506E-01
0.19 	-4.8342627932E-01	-1.5331474414E-01
0.20 	-4.5984930146E-01	-1.5803013971E-01
0.21 	-4.3742218639E-01	-1.6251556272E-01
0.22 	-4.1608885462E-01	-1.6678222908E-01
0.23 	-3.9579596172E-01	-1.7084080766E-01
0.24 	-3.7649276489E-01	-1.7470144702E-01
0.25 	-3.5813099608E-01	-1.7837380078E-01
0.26 	-3.4066474129E-01	-1.8186705174E-01
0.27 	-3.2405032581E-01	-1.8518993484E-01
0.28 	-3.0824620493E-01	-1.8835075901E-01
0.29 	-2.9321286012E-01	-1.9135742798E-01
0.30 	-2.7891270019E-01	-1.9421745996E-01
0.31 	-2.6530996728E-01	-1.9693800654E-01
0.32 	-2.5237064749E-01	-1.9952587050E-01
0.33 	-2.4006238578E-01	-2.0198752284E-01
0.34 	-2.2835440507E-01	-2.0432911899E-01
0.35 	-2.1721742931E-01	-2.0655651414E-01
0.36 	-2.0662361028E-01	-2.0867527794E-01
0.37 	-1.9654645789E-01	-2.1069070842E-01
0.38 	-1.8696077403E-01	-2.1260784519E-01
0.39 	-1.7784258948E-01	-2.1443148210E-01
0.40 	-1.6916910405E-01	-2.1616617919E-01
0.41 	-1.6091862948E-01	-2.1781627410E-01
0.42 	-1.5307053532E-01	-2.1938589294E-01
0.43 	-1.4560519722E-01	-2.2087896056E-01
0.44 	-1.3850394795E-01	-2.2229921041E-01
0.45 	-1.3174903070E-01	-2.2365019386E-01
0.46 	-1.2532355465E-01	-2.2493528907E-01
0.47 	-1.1921145277E-01	-2.2615770945E-01
0.48 	-1.1339744161E-01	-2.2732051168E-01
0.49 	-1.0786698312E-01	-2.2842660338E-01
0.50 	-1.0260624828E-01	-2.2947875034E-01
0.51 	-9.7602082501E-02	-2.3047958350E-01
0.52 	-9.2841972768E-02	-2.3143160545E-01
0.53 	-8.8314016326E-02	-2.3233719673E-01
0.54 	-8.4006890925E-02	-2.3319862182E-01
0.55 	-7.9909826508E-02	-2.3401803470E-01
0.56 	-7.6012578282E-02	-2.3479748434E-01
0.57 	-7.2305401094E-02	-2.3553891978E-01
0.58 	-6.8779025071E-02	-2.3624419499E-01
0.59 	-6.5424632436E-02	-2.3691507351E-01
0.60 	-6.2233835460E-02	-2.3755323291E-01
0.61 	-5.9198655489E-02	-2.3816026890E-01
0.62 	-5.6311502992E-02	-2.3873769940E-01
0.63 	-5.3565158584E-02	-2.3928696828E-01
0.64 	-5.0952754973E-02	-2.3980944901E-01
0.65 	-4.8467759790E-02	-2.4030644804E-01
0.66 	-4.6103959252E-02	-2.4077920815E-01
0.67 	-4.3855442626E-02	-2.4122891147E-01
0.68 	-4.1716587450E-02	-2.4165668251E-01
0.69 	-3.9682045473E-02	-2.4206359091E-01
0.70 	-3.7746729278E-02	-2.4245065414E-01
0.71 	-3.5905799568E-02	-2.4281884009E-01
0.72 	-3.4154653059E-02	-2.4316906939E-01
0.73 	-3.2488910973E-02	-2.4350221781E-01
0.74 	-3.0904408088E-02	-2.4381911838E-01
0.75 	-2.9397182320E-02	-2.4412056354E-01
0.76 	-2.7963464820E-02	-2.4440730704E-01
0.77 	-2.6599670548E-02	-2.4468006589E-01
0.78 	-2.5302389307E-02	-2.4493952214E-01
0.79 	-2.4068377219E-02	-2.4518632456E-01
0.80 	-2.2894548611E-02	-2.4542109028E-01
0.81 	-2.1777968299E-02	-2.4564440634E-01
0.82 	-2.0715844252E-02	-2.4585683115E-01
0.83 	-1.9705520606E-02	-2.4605889588E-01
0.84 	-1.8744471026E-02	-2.4625110579E-01
0.85 	-1.7830292386E-02	-2.4643394152E-01
0.86 	-1.6960698765E-02	-2.4660786025E-01
0.87 	-1.6133515726E-02	-2.4677329685E-01
0.88 	-1.5346674879E-02	-2.4693066502E-01
0.89 	-1.4598208713E-02	-2.4708035826E-01
0.90 	-1.3886245673E-02	-2.4722275087E-01
0.91 	-1.3209005480E-02	-2.4735819890E-01
0.92 	-1.2564794681E-02	-2.4748704106E-01
0.93 	-1.1952002413E-02	-2.4760959952E-01
0.94 	-1.1369096377E-02	-2.4772618072E-01
0.95 	-1.0814619004E-02	-2.4783707620E-01
0.96 	-1.0287183811E-02	-2.4794256324E-01
0.97 	-9.7854719365E-03	-2.4804290561E-01
0.98 	-9.3082288387E-03	-2.4813835423E-01
0.99 	-8.8542611613E-03	-2.4822914777E-01
1.00 	-8.4224337489E-03	-2.4831551325E-01
1.01 	-8.0116668078E-03	-2.4839766664E-01
1.02 	-7.6209332069E-03	-2.4847581336E-01
1.03 	-7.2492559086E-03	-2.4855014882E-01
1.04 	-6.8957055260E-03	-2.4862085889E-01
1.05 	-6.5593979990E-03	-2.4868812040E-01
1.06 	-6.2394923836E-03	-2.4875210152E-01
1.07 	-5.9351887493E-03	-2.4881296225E-01
1.08 	-5.6457261783E-03	-2.4887085476E-01
1.09 	-5.3703808634E-03	-2.4892592383E-01
1.10 	-5.1084642981E-03	-2.4897830714E-01
1.11 	-4.8593215543E-03	-2.4902813569E-01
1.12 	-4.6223296456E-03	-2.4907553407E-01
1.13 	-4.3968959686E-03	-2.4912062081E-01
1.14 	-4.1824568218E-03	-2.4916350864E-01
1.15 	-3.9784759956E-03	-2.4920430480E-01
1.16 	-3.7844434317E-03	-2.4924311131E-01
1.17 	-3.5998739476E-03	-2.4928002521E-01
1.18 	-3.4243060235E-03	-2.4931513880E-01
1.19 	-3.2573006480E-03	-2.4934853987E-01
1.20 	-3.0984402208E-03	-2.4938031196E-01
1.21 	-2.9473275081E-03	-2.4941053450E-01
1.22 	-2.8035846494E-03	-2.4943928307E-01
1.23 	-2.6668522125E-03	-2.4946662956E-01
1.24 	-2.5367882954E-03	-2.4949264234E-01
1.25 	-2.4130676703E-03	-2.4951738647E-01
1.26 	-2.2953809713E-03	-2.4954092381E-01
1.27 	-2.1834339203E-03	-2.4956331322E-01
1.28 	-2.0769465915E-03	-2.4958461068E-01
1.29 	-1.9756527109E-03	-2.4960486946E-01
1.30 	-1.8792989912E-03	-2.4962414020E-01
1.31 	-1.7876444979E-03	-2.4964247110E-01
1.32 	-1.7004600469E-03	-2.4965990799E-01
1.33 	-1.6175276318E-03	-2.4967649447E-01
1.34 	-1.5386398783E-03	-2.4969227202E-01
1.35 	-1.4635995260E-03	-2.4970728009E-01
1.36 	-1.3922189348E-03	-2.4972155621E-01
1.37 	-1.3243196161E-03	-2.4973513608E-01
1.38 	-1.2597317863E-03	-2.4974805364E-01
1.39 	-1.1982939421E-03	-2.4976034121E-01
1.40 	-1.1398524569E-03	-2.4977202951E-01
1.41 	-1.0842611966E-03	-2.4978314776E-01
1.42 	-1.0313811541E-03	-2.4979372377E-01
1.43 	-9.8108010164E-04	-2.4980378398E-01
1.44 	-9.3323226047E-04	-2.4981335355E-01
1.45 	-8.8771798605E-04	-2.4982245640E-01
1.46 	-8.4442346899E-04	-2.4983111531E-01
1.47 	-8.0324045044E-04	-2.4983935191E-01
1.48 	-7.6406595141E-04	-2.4984718681E-01
1.49 	-7.2680201524E-04	-2.4985463960E-01
1.50 	-6.9135546268E-04	-2.4986172891E-01
1.51 	-6.5763765890E-04	-2.4986847247E-01
1.52 	-6.2556429180E-04	-2.4987488714E-01
1.53 	-5.9505516128E-04	-2.4988098897E-01
1.54 	-5.6603397861E-04	-2.4988679320E-01
1.55 	-5.3842817572E-04	-2.4989231436E-01
1.56 	-5.1216872372E-04	-2.4989756626E-01
1.57 	-4.8718996032E-04	-2.4990256201E-01
1.58 	-4.6342942557E-04	-2.4990731411E-01
1.59 	-4.4082770579E-04	-2.4991183446E-01
